	Word	PoS	FrSp		LL	FrWr
	police	NoC	186	-	396.5	288
	high	Adj	185	-	1298.3	392
	mother	NoC	184	-	299.3	271
	absolutely	Adv	183	+	2104.8	44
	D / d	Lett	183	+	1469.6	59
	yourself	Pron	182	+	509.7	99
	G / g	Lett	182	+	3422.3	24
	someone	Pron	181	-	1.8	187
	line	NoC	181	-	92.2	226
	young	Adj	180	-	772.4	330
	reason	NoC	180	-	0.0	181
	later	Adv	179	-	809.4	333
	thinking	Verb	179	+	771.9	82
	run	Verb	179	+	1.3	174
	meeting	NoC	178	+	18.9	160
	tonight	Adv	178	+	1466.4	56
	yesterday	Adv	177	-	19.1	197
	bed	NoC	177	+	24.6	156
	mine	Pron	177	+	2739.9	31
	true	Adj	177	-	1.3	182
	happy	Adj	176	+	298.9	110
	situation	NoC	176	+	18.2	158
	often	Adv	175	-	1517.6	399
	set	Verb	174	-	1025.6	350
	across	Prep	173	-	108.6	222
	somewhere	Adv	173	+	1294.8	58
	tea	NoC	172	+	801.9	76
	pick	Verb	171	+	1690.7	47
	family	NoC	171	-	1226.6	365
	war	NoC	170	-	556.9	291
	down	Prep	170	+	518.2	90
	means	Verb	170	+	81.6	134
	eat	Verb	170	+	1053.6	65
	view	NoC	169	-	115.9	219
	show	Verb	169	-	7.3	181
	certain	Adj	169	-	147.9	226
	knew	Verb	168	-	431.0	271
	office	NoC	168	-	400.1	267
	past	Prep	168	+	1315.9	55
	live	Verb	167	+	49.8	139
	land	NoC	166	-	28.8	190
	wait	Verb	166	+	755.9	74
	indeed	Adv	166	-	32.9	191
	cut	Verb	165	+	33.1	142
	national	Adj	165	-	1698.6	401
	at least	Adv	165	-	432.6	268
	du~*	Verb	165	+	6150.0	3
	level	NoC	164	-	301.1	247
	head	NoC	164	-	1401.9	372
	mind	NoC	164	-	143.0	219
	paid	Verb	163	+	28.3	142
	of*	Verb	162	+	7351.6	0
	thanks	NoC	162	+	1361.9	50
	makes	Verb	162	-	1.4	167
	general	Adj	162	-	882.1	317
	funny	Adj	161	+	2265.6	31
	where	Conj	160	-	2907.1	492
	although	Conj	160	-	2604.6	468
	change	Verb	160	+	148.0	114
	boy	NoC	159	+	59.0	130
	sense	NoC	159	-	168.4	219
	myself	Pron	159	+	97.7	122
	mummy	NoC	159	+	4312.5	10
	town	NoC	159	-	30.1	182
	company	NoC	158	-	2157.8	429
	N / n	Lett	157	+	2274.1	30
	million	NoC	157	-	417.0	256
	dear	Int	157	+	2762.8	23
	using	Verb	157	-	430.2	257
	happen	Verb	156	+	515.9	80
	girl	NoC	156	-	0.1	158
	while	Conj	156	-	3694.5	543
	training	NoC	156	-	93.8	198
	through	Adv	155	+	376.9	88
	open	Adj	155	-	234.3	226
	lost	Verb	155	-	13.9	171
	finished	Verb	155	+	680.2	70
	plan	NoC	155	+	87.0	120
	health	NoC	154	-	452.1	257
	eleven	Num	154	+	2566.5	24
	R / r	Lett	154	+	1556.0	41
	long	Adv	153	-	49.3	184
	particularly	Adv	153	-	258.1	228
	York	NoP	153	+	300.5	93
	hard	Adj	153	-	1.3	158
	putting	Verb	153	+	734.4	67
	questions	NoC	153	+	8.4	141
	during	Prep	152	-	2833.1	473
	therefore	Adv	152	-	356.2	241
	~no*	Verb	152	+	5602.5	3
	worked	Verb	152	+	53.5	124
	forward	Adv	151	+	16.8	135
	up	Prep	151	+	539.3	75
	chairman	NoC	151	+	146.7	107
	Friday	NoP	150	+	1357.8	44
	Mrs	NoC	150	-	147.4	204
	that	Adv	150	+	1506.6	40
	table	NoC	148	-	176.8	208
	afternoon	NoC	148	+	473.4	77
	bye	Int	148	+	5794.1	2
	watch	Verb	148	+	879.7	57
	gave	Verb	148	-	381.5	239
	month	NoC	147	-	0.6	150
	black	Adj	147	-	351.5	234
	possible	Adj	147	-	1595.4	364
	Saturday	NoP	147	+	471.1	76
	seem	Verb	146	-	39.4	173
	fire	NoC	146	+	14.5	131
	stay	Verb	146	+	95.9	110
	interesting	Adj	146	+	255.4	91
	matter	NoC	145	-	38.6	171
	usually	Adv	144	-	144.4	197
	phone	NoC	144	+	805.3	58
	nobody	Pron	144	+	944.9	53
	agree	Verb	144	+	455.8	75
	Sunday	NoP	143	+	277.8	87
	city	NoC	143	-	439.9	241
	on to	Prep	143	+	288.5	86
	course	NoC	143	-	128.0	192
	brought	Verb	143	-	230.8	211
	sir	NoC	143	-	138.2	194
	father	NoC	142	-	524.6	251
	in terms of	Prep	142	+	169.8	97
	because of	Prep	142	-	87.5	182
	areas	NoC	142	-	474.2	244
	development	NoC	142	-	1471.4	345
	'	Gen	141	-	3704.0	518
	British	Adj	141	-	1921.4	382
	clear	Adj	140	-	443.6	237
	happens	Verb	140	+	984.6	49
	tape	NoC	139	+	1502.5	35
	woman	NoC	138	-	504.1	243
	amount	NoC	138	-	5.1	147
	staff	NoC	138	-	456.3	237
	services	NoC	138	-	668.6	262
	trouble	NoC	138	+	265.3	84
	David	NoP	138	-	28.7	159
	street	NoC	137	-	208.5	200
	page	NoC	137	+	93.1	103
	send	Verb	137	+	386.4	74
	around	Prep	137	-	572.9	249
	until	Conj	137	-	619.5	254
	easy	Adj	137	-	3.1	144
	difference	NoC	136	+	52.0	111
	lord	NoC	136	-	6.0	146
	rest	NoC	136	-	3.0	142
	market	NoC	135	-	1147.1	305
	union	NoC	134	-	74.7	169
	basically	Adv	134	+	2390.5	19
	concerned	Adj	134	-	44.2	160
	form	NoC	133	-	921.3	282
	supposed	Adj	133	+	1004.9	45
	main	Adj	133	-	695.7	258
	centre	NoC	133	-	552.3	242
	U / u	Lett	133	+	3745.1	8
	interest	NoC	133	-	1000.4	288
	fair	Adj	133	+	282.0	78
	real	Adj	132	-	530.3	238
	London	NoP	132	-	2022.6	377
	third	Ord	132	-	391.0	220
	letter	NoC	132	-	1.3	136
	love	Verb	132	+	249.5	81
	white	Adj	131	-	354.2	214
	eighteen	Num	131	+	2416.2	18
	programme	NoC	131	-	235.5	197
	once	Conj	131	+	186.1	86
	Monday	NoP	130	+	982.9	44
	child	NoC	130	-	725.1	257
	position	NoC	130	-	568.9	240
	power	NoC	130	-	1621.7	340
	ready	Adj	130	+	79.4	99
	box	NoC	129	+	201.1	83
	okay*	Adj	129	+	4259.1	4
	dog	NoC	128	+	282.6	75
	plus	Prep	128	+	469.0	63
	speak	Verb	128	+	125.9	90
	short	Adj	127	-	179.3	182
	nearly	Adv	127	+	13.7	114
	takes	Verb	126	+	7.6	117
	stage	NoC	126	-	98.5	166
	after	Conj	126	-	665.0	245
	lots	Pron	126	+	1190.1	36
	others	NoC	126	-	1235.2	301
	community	NoC	125	-	658.5	243
	red	Adj	125	-	0.0	126
	enough	DetP	125	+	230.5	77
	special	Adj	125	-	559.4	231
	listen	Verb	125	+	709.4	50
	themselves	Pron	124	-	732.9	250
	wonder	Verb	124	+	1111.8	37
	X / x	Lett	124	+	639.0	52
	age	NoC	124	-	528.4	226
	ought	VMod	123	+	592.7	54
	towards	Prep	123	-	1331.3	305
	H / h	Lett	123	+	1157.7	35
	till	Prep	122	+	2271.6	17
	building	NoC	122	-	125.6	167
	unless	Conj	122	+	15.3	109
	walk	Verb	122	+	461.7	59
	knows	Verb	122	+	174.1	80
	trade	NoC	122	-	333.5	199
	behind	Prep	121	-	429.6	211
	price	NoC	121	-	180.9	176
	F / f	Lett	121	+	1390.1	29
	changed	Verb	120	+	12.2	108
	piece	NoC	120	+	89.1	89
	less	Adv	119	-	888.3	258
	answer	NoC	119	+	87.4	89
	kids	NoC	119	+	1081.4	35
	motion	NoC	119	+	963.9	38
	expect	Verb	119	+	17.2	104
	almost	Adv	118	-	1831.4	339
	everyone	Pron	118	-	20.4	135
	schools	NoC	118	-	106.5	159
	authority	NoC	118	-	304.8	191
	along	Adv	118	+	325.1	64
	labour*	Adj	118	-	16.5	133
	hell	NoC	118	+	680.5	46
	district	NoC	118	+	242.8	70
	anyone	Pron	118	-	84.6	153
	extra	Adj	117	+	77.8	89
	type	NoC	117	-	212.8	176
	bottom	NoC	117	+	589.6	50
	sell	Verb	117	+	219.5	72
	sitting	Verb	117	+	163.4	77
	forget	Verb	117	+	471.4	55
	ya	Pron	117	+	4449.7	2
	food	NoC	117	-	374.8	198
	yep	Int	117	+	4760.8	1
	Paul	NoP	116	+	0.5	114
	carry	Verb	116	+	24.2	99
	large	Adj	116	-	2195.6	363
	education	NoC	115	-	1148.6	277
	social	Adj	115	-	3523.1	458
	cost	NoC	115	-	94.8	153
	once	Adv	114	-	343.3	191
	love	NoC	114	-	97.5	152
	fucking	Adj	114	+	3088.9	7
	fairly	Adv	114	+	323.1	62
	news	NoC	114	-	84.5	149
	jobs	NoC	114	+	33.0	95
	stand	Verb	114	+	58.3	89
	worth	Prep	114	+	16.4	100
	pardon	NoC	114	+	3483.2	5
	list	NoC	114	-	1.7	118
	traffic	NoC	114	+	325.5	61
	free	Adj	113	-	489.9	208
	giving	Verb	113	-	13.3	126
	kept	Verb	113	-	78.1	146
	half	NoC	113	+	228.8	67
	running	Verb	113	+	7.6	103
	wish	Verb	113	+	10.9	101
	issue	NoC	112	-	108.1	152
	cup	NoC	112	-	9.5	123
	bits	NoC	112	+	1406.9	25
	since	Conj	112	-	1681.3	316
	normally	Adv	112	+	109.4	79
	quarter	NoC	112	+	192.1	70
	actual	Adj	112	+	271.1	63
	game	NoC	112	-	122.3	154
	parents	NoC	111	-	212.8	169
	hair	NoC	111	-	94.3	148
	order	NoC	111	-	506.7	207
	period	NoC	111	-	1020.2	258
	far	Adj	111	+	263.0	63
	mentioned	Verb	111	+	240.2	65
	both	Adv	111	-	2943.9	409
	asking	Verb	111	+	355.3	57
	change	NoC	110	-	556.3	212
	points	NoC	110	-	2.2	116
	interested	Adj	110	+	62.0	85
	hold	Verb	110	+	1.6	106
	sent	Verb	110	-	65.2	140
	budget	NoC	110	+	104.6	78
